lon,lat,vs30
-116.3103432,50.86109364,682.5898438
-116.1776605,50.74000165,527.6464844
-116.0394503,50.91072969,701.6922607
-116.3427552,50.88727137,619.8141479
-115.9419655,50.766868,398.1495667
-115.9186336,50.74604807,502.8171082
-116.191995,50.7612868,545.5723877
-116.2477656,50.82390355,900
-116.0429252,50.5926841,703.3768311
-116.0216927,50.55968548,558.5264893
-116.2484282,50.81112125,558.0789185
-116.0359913,50.90626167,353.2266541
-116.3168084,50.86390293,770.1624146
-116.2819302,50.84345955,900
-116.1210353,51.18437733,613.3156738
-116.1184972,50.71059156,602.6063843
-116.2418433,50.81785185,774.3699341
-116.1175368,50.68549474,547.1129761
-116.322092,50.86664825,477.4085999
-116.2764942,50.83578293,691.9806519
-116.2280833,50.79775312,614.3681641
-115.680532,50.77193411,900
-115.6833057,50.77281855,900
-116.3494433,50.89311844,613.4612427
-116.1768564,50.73915298,527.6464844
-116.2307997,50.79964789,581.1644897
-116.3155457,50.86182584,436.2156372
-116.3779841,50.92398694,900
-116.1055115,50.71606355,633.2767944
-115.9214485,50.74718299,345.383606
-116.0434154,50.63583215,549.9815674
-116.3217291,50.8663133,477.4085999
-116.378355,50.92009497,505.0258484
-116.4034586,50.94613271,900
-115.9316335,50.67427464,224.4625244
-116.2068394,50.77648477,613.3511963
-116.3423168,50.8869944,619.8141479
-116.1772989,50.73966753,527.6464844
-115.8640205,50.67977539,473.3934631
-115.9801868,51.0248227,425.0937195
-115.6183494,50.9085862,692.4500732
-116.3419002,50.88670417,619.8141479
-116.3385603,50.88358934,619.8141479
-115.8202724,50.61242815,664.2355957
-116.2155813,50.7923475,589.9013672
-116.4010842,50.94465287,618.7034912
-116.0589539,50.62802204,820.9822998
-116.0131573,50.64389536,775.8383789
-116.2040942,50.77555229,587.4651489
-115.9355979,50.76764151,591.8078613
-115.8704402,50.34191947,517.088501
-115.8731748,50.34798236,327.6460266
-115.8703956,50.34287322,517.088501
-115.8561777,50.33162985,583.0706787
-115.8632144,50.32105612,404.2674561
-115.8541079,50.17084433,600
-115.9471007,50.45751158,509.9237976
-115.8918192,50.42781773,756.1384277
-115.8522094,50.27574301,595.2421875
-115.7585109,50.17269953,900
-115.5764484,49.61001174,492.4386292
-115.6833597,49.57370108,519.2686157
-115.6497423,49.5537736,344.5135193
-115.5975599,49.61261586,427.40271
-115.676337,49.57534121,466.0146179
-115.3833231,49.50214925,835.366333
-115.6264072,49.59254001,531.7241211
-115.6315879,49.62742437,510.6434326
-115.4657433,49.53177876,576.7768555
-115.4863307,49.54093653,386.6203918
-115.4067015,49.76464276,900
-115.449754,49.47563828,526.9837036
-115.7398479,49.90340539,392.2681274
-115.7966329,49.91149166,405.7284851
-115.7678599,49.91716786,442.8547668
-115.7737443,49.80770396,501.6564331
-115.792762,49.95338797,594.3067627
-115.7074987,49.71679099,499.6285706
-115.7860717,49.68315933,389.9946899
-115.6754097,49.67904682,537.5948486
-116.2398958,50.81156153,576.0969849
-116.2639913,50.82567178,586.4112549
-116.0875195,50.67899415,690.5927734
-116.3608179,50.90619026,874.977478
-116.0116523,50.81421541,489.9716797
-115.9795936,51.02688083,425.0937195
-115.6799639,50.77732682,900
-116.0516144,50.88346814,279.6621094
-116.2353899,50.81537165,900
-116.105144,50.67927839,698.2925415
-116.176414,50.73863843,527.6464844
-115.6801102,50.78655941,900
-116.0056718,50.54854981,472.661438
-116.0638311,50.61479281,740.0125732
-116.1293528,50.6975292,503.2154236
-116.1190521,50.68613122,547.1129761
-116.281393,50.83822208,900
-116.0895696,50.54789712,435.8976746
-116.0634732,50.54108199,712.6716309
-116.0843239,50.58030945,351.9809265
-116.0992354,50.62919816,218.2974548
-116.2209134,50.79131931,566.526062
-116.0443127,50.58553159,624.4349976
-116.1382945,50.6937053,308.0536194
-116.1357318,50.70890225,584.9106445
-116.1119286,50.62199403,609.6357422
-116.132974,50.51594045,527.4440918
-116.2936679,50.72130185,339.83078
-116.101817,50.60634265,540.7061157
-116.0582398,50.60103091,792.8978882
-116.3789588,50.91973048,505.0258484
-116.4015137,50.9443659,618.7034912
-116.0984453,50.63184651,218.2974548
-116.1090273,50.67721938,593.5394287
-116.0652647,50.60790558,766.9252319
-116.2871627,50.844256,900
-116.0961791,50.62732212,255.8950653
-116.389313,50.89835666,500.0501709
-116.4890481,50.92681489,353.2262878
